GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.checkout.invoker.auth,HttpBearerAuth,52,6,6,0,11,3,9,1,6,1
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.checkout.invoker.auth,ApiKeyAuth,76,9,10,0,20,4,12,1,7,1
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.checkout.invoker.auth,HttpBasicAuth,44,0,8,0,13,0,10,0,6,0
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.card.invoker.auth,HttpBearerAuth,52,6,6,0,11,3,9,1,6,1
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.card.invoker.auth,ApiKeyAuth,76,9,10,0,20,4,12,1,7,1
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.card.invoker.auth,HttpBasicAuth,44,0,8,0,13,0,10,0,6,0
virtual-card-tokens-reference-app,com.mastercard.mcs.virtualcardtokens.models,EncryptedCardResponse,0,3,0,0,0,1,0,1,0,1
virtual-card-tokens-reference-app,com.mastercard.mcs.virtualcardtokens.models,Key,0,23,0,0,0,3,0,2,0,2
virtual-card-tokens-reference-app,com.mastercard.mcs.virtualcardtokens.models,KeyList,0,3,0,0,0,1,0,1,0,1
virtual-card-tokens-reference-app,com.mastercard.mcs.virtualcardtokens.models,CheckoutApiResponse,0,3,0,0,0,1,0,1,0,1
virtual-card-tokens-reference-app,com.mastercard.mcs.virtualcardtokens,VirtualCardReferenceApplication,0,8,0,0,0,3,0,2,0,2
virtual-card-tokens-reference-app,com.mastercard.mcs.virtualcardtokens.config,HttpClientConfig,0,18,0,0,0,5,0,3,0,3
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.checkout.api,CheckoutApi.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.checkout.api,CheckoutApi.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.checkout.api,CheckoutApi,218,0,14,0,54,0,20,0,13,0
virtual-card-tokens-reference-app,com.mastercard.mcs.virtualcardtokens.utils,KeyUtil,0,45,0,4,0,12,0,6,0,4
virtual-card-tokens-reference-app,com.mastercard.mcs.virtualcardtokens.exception,GlobalExceptionHandler,0,50,0,0,0,12,0,5,0,5
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.card.model,DelegatedAuthenticationModel.ModelTypeEnum,68,0,4,0,15,0,8,0,6,0
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.card.model,SrcTokenRequestData,296,0,38,0,64,0,38,0,19,0
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.card.model,Consumer.CustomTypeAdapterFactory.new TypeAdapter() {...},268,0,28,0,39,0,17,0,3,0
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.card.model,PushAccountReceiptCardDetails,448,0,54,0,85,0,54,0,27,0
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.card.model,DigitalCardStatus.Adapter,15,0,0,0,5,0,3,0,3,0
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.card.model,VerificationData.CustomTypeAdapterFactory,26,3,2,0,7,1,2,1,1,1
virtual-card-tokens-reference-app,com.mcs.virtualcardtokens.card.model,UriData.CustomTypeAdapterFactory.new TypeAdapter() {...},268,0,28,0,39,0,17,0,3,0
